Sample	error_rate	non-primary_alignments	reads_mapped	reads_mapped_percent	reads_properly_paired_percent	reads_MQ0_percent	raw_total_sequences	flagstat_total	mapped_passed	mapped_passed_pct	% Neisseria gonorrhoeae	% Top	% Unclassified	pct_duplication	after_filtering_q30_rate	after_filtering_q30_bases	filtering_result_passed_filter_reads	after_filtering_gc_content	pct_surviving	pct_adapter	percent_duplicates	percent_gc	avg_sequence_length	median_sequence_length	percent_fails	total_sequences
fastp | AC79_EKDL240003470-1A_223JWCLT4_L2.lib2														6.616750000000001	0.94621	127570378.0	958416.0	0.418107	98.33457822721638	24.96685983042083						
fastp | AC79_EKDL240003470-1A_223JWCLT4_L2.lib2_1																					8.024487079085418	41.0	140.66211332031185	150	9.090909090909092	479208.0
fastp | AC79_EKDL240003470-1A_223JWCLT4_L2.lib2_2																					8.560492103826832	41.0	140.67021627351798	150	9.090909090909092	479208.0
fastp | AC79_EKDL240003470-1A_22JVFTLT3_L1.lib1														5.05668	0.951185	1894078892.0	14328144.0	0.418847	98.18951537300129	28.85781961160982						
fastp | AC79_EKDL240003470-1A_22JVFTLT3_L1.lib1_1																					8.305390433697497	41.0	138.96856159457917	150	9.090909090909092	7164072.0
fastp | AC79_EKDL240003470-1A_22JVFTLT3_L1.lib1_2																					8.72637655931608	41.0	138.9724459776507	150	9.090909090909092	7164072.0
fastp | AC80_EKDL240003470-1A_223JWCLT4_L2.lib2														7.157330000000001	0.944563	188954578.0	1397824.0	0.409068	98.12169464446413	20.470144926722362						
fastp | AC80_EKDL240003470-1A_223JWCLT4_L2.lib2_1																					8.057671183144095	40.0	143.10416332814432	150	9.090909090909092	698912.0
fastp | AC80_EKDL240003470-1A_223JWCLT4_L2.lib2_2																					8.5639935652504	40.0	143.1091782656472	150	9.090909090909092	698912.0
fastp | AC80_EKDL240003470-1A_22JVFTLT3_L1.lib1														5.58649	0.951774	2787912771.0	20662348.0	0.409834	98.02004922646965	23.9130166649304						
fastp | AC80_EKDL240003470-1A_22JVFTLT3_L1.lib1_1																					6.823880498945172	40.0	141.76002494972983	150	9.090909090909092	10331174.0
fastp | AC80_EKDL240003470-1A_22JVFTLT3_L1.lib1_2																					7.297764552970406	41.0	141.75640019227242	150	9.090909090909092	10331174.0
fastp | AC81_EKDL240003470-1A_223JWCLT4_L2.lib2														6.434760000000001	0.942902	251892717.0	1885198.0	0.430016	98.83486716625896	22.399081063340994						
fastp | AC81_EKDL240003470-1A_223JWCLT4_L2.lib2_1																					15.055308496356218	43.0	141.69858975025434	150	9.090909090909092	942599.0
fastp | AC81_EKDL240003470-1A_223JWCLT4_L2.lib2_2																					15.794532729691241	43.0	141.70641492299484	150	9.090909090909092	942599.0
fastp | AC81_EKDL240003470-1A_22JVFTLT3_L1.lib1														5.70138	0.952039	3570737191.0	26765498.0	0.430627	98.68068608069656	26.198576576483575						
fastp | AC81_EKDL240003470-1A_22JVFTLT3_L1.lib1_1																					16.816690205074508	43.0	140.11919808105196	150	9.090909090909092	13382749.0
fastp | AC81_EKDL240003470-1A_22JVFTLT3_L1.lib1_2																					17.185501130284948	43.0	140.12673180973505	150	9.090909090909092	13382749.0
fastp | AC82_EKDL230051108-1A_22FN5HLT3_L1.lib1														8.203380000000001	0.95997	4240507984.0	29813500.0	0.439963	97.61038156562292	6.248171043339356						
fastp | AC82_EKDL230051108-1A_22FN5HLT3_L1.lib1_1																					8.74547455786879	43.0	148.16709685209722	150	0.0	14906750.0
