Tube_code	individual	species	Population	latitude	longitude	type	Sex	Sample_type	time_point	Tube_type
AFU87	AH1_2nd_1	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	0_Wild	EHI
AFU88	AH1_2nd_2	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	0_Wild	EHI
AFU91	AH1_2nd_5	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	0_Wild	EHI
AFU92	AH1_2nd_6	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	0_Wild	EHI
AFU93	AH1_2nd_7	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	0_Wild	EHI
AFU94	AH1_2nd_8	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	0_Wild	EHI
AFU98	AH1_2nd_9	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	0_Wild	EHI
AFU95	AH1_2nd_10	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	0_Wild	EHI
AFU99	AH1_2nd_11	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	0_Wild	EHI
AFU96	AH1_2nd_12	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	0_Wild	EHI
AFV02	AH1_2nd_20	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	0_Wild	EHI
AFU97	AH1_2nd_13	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	0_Wild	EHI
AFV03	AH1_2nd_14	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	0_Wild	EHI
AFV04	AH1_2nd_15	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	0_Wild	EHI
AFV01	AH1_2nd_16	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	0_Wild	EHI
AFV05	AH1_2nd_17	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	0_Wild	EHI
AFV06	AH1_2nd_18	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	0_Wild	EHI
AFV07	AH1_2nd_19	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	0_Wild	EHI
AFV08	LI1_2nd_1	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	0_Wild	EHI
AFV09	LI1_2nd_2	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	0_Wild	EHI
