Sample	percent_duplicates	percent_gc	avg_sequence_length	median_sequence_length	percent_fails	total_sequences
AC79_EKDL240003470-1A_223JWCLT4_L2.lib2_1	8.105347586353687	42.0	150.0	150	18.181818181818183	487324.0
AC79_EKDL240003470-1A_223JWCLT4_L2.lib2_2	9.122332211631104	43.0	150.0	150	18.181818181818183	487324.0
AC79_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	8.415528624095245	42.0	150.0	150	18.181818181818183	7296168.0
AC79_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	9.444957073526723	43.0	150.0	150	18.181818181818183	7296168.0
AC80_EKDL240003470-1A_223JWCLT4_L2.lib2_1	8.20792326558508	41.0	150.0	150	18.181818181818183	712291.0
AC80_EKDL240003470-1A_223JWCLT4_L2.lib2_2	9.26941141200632	42.0	150.0	150	18.181818181818183	712291.0
AC80_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	7.089250671763224	41.0	150.0	150	18.181818181818183	10539858.0
AC80_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	8.23695983687223	42.0	150.0	150	27.27272727272727	10539858.0
AC81_EKDL240003470-1A_223JWCLT4_L2.lib2_1	15.048191448545225	43.0	150.0	150	18.181818181818183	953711.0
AC81_EKDL240003470-1A_223JWCLT4_L2.lib2_2	16.014989481090538	43.0	150.0	150	18.181818181818183	953711.0
AC81_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	16.792250039106733	43.0	150.0	150	18.181818181818183	13561670.0
AC81_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	17.54408984410192	44.0	150.0	150	18.181818181818183	13561670.0
AC82_EKDL230051108-1A_22FN5HLT3_L1.lib1_1	8.797684215316991	44.0	150.0	150	0.0	15271685.0
AC82_EKDL230051108-1A_22FN5HLT3_L1.lib1_2	10.023355507954392	44.0	150.0	150	9.090909090909092	15271685.0
AC83_EKDL230051108-1A_22FN5HLT3_L1.lib1_1	8.428087759217533	44.0	150.0	150	0.0	12331780.0
AC83_EKDL230051108-1A_22FN5HLT3_L1.lib1_2	9.442693377937815	44.0	150.0	150	0.0	12331780.0
AC84_EKDL240003470-1A_223JWCLT4_L2.lib2_1	14.606455891479499	43.0	150.0	150	27.27272727272727	1504336.0
AC84_EKDL240003470-1A_223JWCLT4_L2.lib2_2	15.520589195389817	43.0	150.0	150	18.181818181818183	1504336.0
AC84_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	22.935552119490893	44.0	150.0	150	27.27272727272727	23193461.0
AC84_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	23.902725647074405	44.0	150.0	150	18.181818181818183	23193461.0
AC85_EKDL230051108-1A_22FN5HLT3_L1.lib1_1	83.3134198661264	45.0	150.0	150	27.27272727272727	10691827.0
AC85_EKDL230051108-1A_22FN5HLT3_L1.lib1_2	83.86544217160707	47.0	150.0	150	45.45454545454545	10691827.0
AC86_EKDL230051108-1A_22FN5HLT3_L1.lib1_1	89.50117458003507	45.0	150.0	150	27.27272727272727	19486875.0
AC86_EKDL230051108-1A_22FN5HLT3_L1.lib1_2	89.39457920938032	45.0	150.0	150	27.27272727272727	19486875.0
AC87_EKDL230051108-1A_22FN5HLT3_L1.lib1_1	87.69198966599033	41.0	150.0	150	18.181818181818183	16529688.0
AC87_EKDL230051108-1A_22FN5HLT3_L1.lib1_2	88.29170384565661	42.0	150.0	150	27.27272727272727	16529688.0
AC88_EKDL240003470-1A_223JWCLT4_L2.lib2_1	9.087964159915998	45.0	150.0	150	18.181818181818183	581620.0
AC88_EKDL240003470-1A_223JWCLT4_L2.lib2_2	10.169255517719023	46.0	150.0	150	18.181818181818183	581620.0
AC88_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	15.043223350418174	45.0	150.0	150	18.181818181818183	8741714.0
AC88_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	16.143291491229448	46.0	150.0	150	27.27272727272727	8741714.0
AC89_EKDL230051108-1A_22FN5HLT3_L1.lib1_1	18.34211472357083	45.0	150.0	150	0.0	15779518.0
AC89_EKDL230051108-1A_22FN5HLT3_L1.lib1_2	19.35259183322387	46.0	150.0	150	9.090909090909092	15779518.0
AC90_EKDL240003470-1A_223JWCLT4_L2.lib2_1	8.344337796573171	42.0	150.0	150	18.181818181818183	1361087.0
AC90_EKDL240003470-1A_223JWCLT4_L2.lib2_2	9.16050195795728	43.0	150.0	150	18.181818181818183	1361087.0
AC90_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	10.94185567326285	43.0	150.0	150	18.181818181818183	20063571.0
AC90_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	11.713574682163468	43.0	150.0	150	18.181818181818183	20063571.0
AC91_EKDL240003470-1A_223JWCLT4_L2.lib2_1	8.531587959683478	43.0	150.0	150	18.181818181818183	855152.0
AC91_EKDL240003470-1A_223JWCLT4_L2.lib2_2	9.645700094330351	43.0	150.0	150	18.181818181818183	855152.0
AC91_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	6.902808281505273	43.0	150.0	150	18.181818181818183	12376206.0
AC91_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	7.9968278782609445	43.0	150.0	150	27.27272727272727	12376206.0
AC92_EKDL240003470-1A_223JWCLT4_L2.lib2_1	8.849763214412562	42.0	150.0	150	18.181818181818183	1103887.0
AC92_EKDL240003470-1A_223JWCLT4_L2.lib2_2	9.705029078270016	43.0	150.0	150	18.181818181818183	1103887.0
AC92_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	6.784233392958939	42.0	150.0	150	18.181818181818183	12859155.0
AC92_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	7.6604221572353595	43.0	150.0	150	18.181818181818183	12859155.0
AC93_EKDL240003470-1A_223JWCLT4_L2.lib2_1	8.381628948165826	43.0	150.0	150	18.181818181818183	806760.0
AC93_EKDL240003470-1A_223JWCLT4_L2.lib2_2	9.283364759360907	43.0	150.0	150	18.181818181818183	806760.0
AC93_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	7.326026750726754	43.0	150.0	150	18.181818181818183	11908925.0
AC93_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	8.166986584726516	44.0	150.0	150	18.181818181818183	11908925.0
AC94_EKDL230051108-1A_22FN5HLT3_L1.lib1_1	63.19651685234112	45.0	150.0	150	27.27272727272727	15288309.0
AC94_EKDL230051108-1A_22FN5HLT3_L1.lib1_2	63.56542982264289	45.0	150.0	150	27.27272727272727	15288309.0
AC95_EKDL240003470-1A_223JWCLT4_L2.lib2_1	9.264720401974586	42.0	150.0	150	18.181818181818183	2099892.0
AC95_EKDL240003470-1A_223JWCLT4_L2.lib2_2	10.271119076363476	42.0	150.0	150	18.181818181818183	2099892.0
AC95_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	11.329599344045235	42.0	150.0	150	18.181818181818183	26744770.0
AC95_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	12.25263208124025	43.0	150.0	150	18.181818181818183	26744770.0
AC96_EKDL230051108-1A_22FN5HLT3_L1.lib1_1	77.59708662219026	42.0	150.0	150	9.090909090909092	14737713.0
AC96_EKDL230051108-1A_22FN5HLT3_L1.lib1_2	78.17020484315535	43.0	150.0	150	18.181818181818183	14737713.0
AC97_EKDL230051108-1A_22FN5HLT3_L1.lib1_1	9.00174456260811	48.0	150.0	150	0.0	12105866.0
AC97_EKDL230051108-1A_22FN5HLT3_L1.lib1_2	10.606295283242702	49.0	150.0	150	9.090909090909092	12105866.0
AC98_EKDL240003470-1A_223JWCLT4_L2.lib2_1	7.7113921148171585	43.0	150.0	150	18.181818181818183	566755.0
AC98_EKDL240003470-1A_223JWCLT4_L2.lib2_2	8.718466075626225	43.0	150.0	150	18.181818181818183	566755.0
AC98_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	4.832718189369871	43.0	150.0	150	18.181818181818183	8502545.0
AC98_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	5.838019394440934	44.0	150.0	150	18.181818181818183	8502545.0
AC99_EKDL240003470-1A_223JWCLT4_L2.lib2_1	7.972166441529367	42.0	150.0	150	18.181818181818183	872583.0
AC99_EKDL240003470-1A_223JWCLT4_L2.lib2_2	8.895779906815378	43.0	150.0	150	18.181818181818183	872583.0
AC99_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	5.7528908084449455	42.0	150.0	150	18.181818181818183	11434984.0
AC99_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	6.667712445813379	43.0	150.0	150	18.181818181818183	11434984.0
AD01_EKDL240003470-1A_223JWCLT4_L2.lib2_1	19.693502046692473	43.0	150.0	150	18.181818181818183	971078.0
AD01_EKDL240003470-1A_223JWCLT4_L2.lib2_2	21.10642854212611	43.0	150.0	150	18.181818181818183	971078.0
AD01_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	20.48412385481828	43.0	150.0	150	18.181818181818183	13507522.0
AD01_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	21.188734473530815	43.0	150.0	150	18.181818181818183	13507522.0
AD02_EKDL240003470-1A_223JWCLT4_L2.lib2_1	12.3019968332287	43.0	150.0	150	18.181818181818183	376348.0
