user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
AH1_2nd_10:bin_000001	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Limenecus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Limenecus;s__	ANI	classification based on placement in class-level tree	GCA_000980375.1, s__Limenecus avicola, 95.0, 79.18, 0.462; GCA_944326545.1, s__Limenecus sp944326545, 95.0, 79.15, 0.452; GCA_944322725.1, s__Limenecus sp944322725, 95.0, 78.97, 0.439; GCA_944326515.1, s__Limenecus sp944326515, 95.0, 78.93, 0.416; GCA_944325885.1, s__Limenecus sp944325885, 95.0, 78.93, 0.38; GCA_944325575.1, s__Limenecus sp944325575, 95.0, 78.82, 0.372; GCA_018362895.1, s__Limenecus sp018362895, 95.0, 78.79, 0.369; GCA_944325555.1, s__Limenecus sp944325555, 95.0, 78.65, 0.423; GCA_944322935.1, s__Limenecus sp944322935, 95.0, 78.55, 0.423; GCA_944326555.1, s__Limenecus sp944326555, 95.0, 78.52, 0.339; GCA_944322545.1, s__Limenecus sp944322545, 95.0, 78.48, 0.276; GCA_944323685.1, s__Limenecus sp944323685, 95.0, 78.45, 0.423; GCA_944325565.1, s__Limenecus sp944325565, 95.0, 78.4, 0.427; GCA_944323275.1, s__Limenecus sp944323275, 95.0, 78.3, 0.366; GCA_944325595.1, s__Limenecus sp944325595, 95.0, 78.28, 0.347; GCA_944326115.1, s__Limenecus sp944326115, 95.0, 78.28, 0.317; GCA_944324245.1, s__Limenecus sp944324245, 95.0, 78.05, 0.348; GCA_944323475.1, s__Limenecus sp944323475, 95.0, 78.0, 0.351; GCA_944323115.1, s__Limenecus sp944323115, 95.0, 77.98, 0.352; GCA_944322855.1, s__Limenecus sp944322855, 95.0, 77.98, 0.334; GCA_944326535.1, s__Limenecus sp944326535, 95.0, 77.95, 0.323; GCA_944322975.1, s__Limenecus sp944322975, 95.0, 77.91, 0.384	95.71	11	0.95088	N/A
AH1_2nd_10:bin_000007	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	93.62	11	0.61342	N/A
AH1_2nd_10:bin_000009	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__	ANI	classification based on placement in class-level tree	GCA_902373525.1, s__Bilophila sp902373525, 95.0, 78.15, 0.107; GCA_900553145.1, s__Bilophila sp900553145, 95.0, 78.09, 0.106; GCF_000701705.1, s__Bilophila wadsworthia, 95.0, 77.77, 0.105; GCA_944326695.1, s__Bilophila faecipullorum, 95.0, 77.71, 0.104; GCA_023403845.1, s__Bilophila sp023403845, 95.0, 77.5, 0.108; GCA_910585945.1, s__Bilophila sp910585945, 95.0, 76.72, 0.106; GCA_900550745.1, s__Bilophila sp900550745, 95.0, 76.69, 0.1	94.38	11	0.91978	N/A
AH1_2nd_10:bin_000010	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__CALURL01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__CALURL01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	91.66	11	0.93564	N/A
AH1_2nd_10:bin_000018	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__MGBC140009;s__	N/A	N/A	N/A	N/A	N/A	GCA_910586015.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__MGBC140009;s__MGBC140009 sp910586015	77.53	0.323	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__MGBC140009;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	93.21	11	0.93315	N/A
AH1_2nd_10:bin_000025	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	91.48	11	0.56962	N/A
AH1_2nd_10:bin_000040	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	ANI	classification based on placement in class-level tree	GCF_016901855.1, s__UBA866 sp016901855, 95.0, 77.03, 0.038; GCA_904384225.1, s__UBA866 sp904384225, 95.0, 76.93, 0.038; GCA_944386285.1, s__UBA866 sp944386285, 95.0, 76.71, 0.038; GCA_022791945.1, s__UBA866 sp022791945, 95.0, 76.44, 0.026; GCA_900543295.1, s__UBA866 sp900543295, 95.0, 76.35, 0.031; GCA_002295325.1, s__UBA866 sp002295325, 95.0, 76.17, 0.025	83.3	11	0.89517	N/A
AH1_2nd_10:bin_000041	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_000265365.1, s__Alistipes finegoldii, 95.0, 83.27, 0.676; GCA_902388705.1, s__Alistipes sp902388705, 95.0, 83.07, 0.635; GCA_021204515.1, s__Alistipes sp021204515, 95.0, 82.69, 0.576; GCA_025145285.1, s__Alistipes onderdonkii, 95.0, 82.65, 0.692; GCA_934754975.1, s__Alistipes sp934754975, 95.0, 82.19, 0.524; GCA_900541585.1, s__Alistipes sp900541585, 95.0, 82.14, 0.569; GCA_025145845.1, s__Alistipes shahii, 95.0, 82.11, 0.584; GCF_900083545.1, s__Alistipes provencensis, 95.0, 82.02, 0.584; GCA_025145645.1, s__Alistipes senegalensis, 95.0, 82.01, 0.56; GCA_001941065.1, s__Alistipes sp001941065, 95.0, 81.63, 0.552; GCA_900544265.1, s__Alistipes merdavium, 95.0, 81.49, 0.592; GCF_900107675.1, s__Alistipes timonensis, 95.0, 81.46, 0.576; GCA_020026455.1, s__Alistipes sp020026455, 95.0, 81.42, 0.501; GCA_023443765.1, s__Alistipes sp023443765, 95.0, 81.14, 0.518; GCF_018362775.1, s__Alistipes montrealensis, 95.0, 81.13, 0.596; GCF_006542685.1, s__Alistipes dispar, 95.0, 81.03, 0.532; GCA_902362705.1, s__Alistipes sp002358415, 95.0, 80.88, 0.549; GCA_910576555.1, s__Alistipes sp910576555, 95.0, 80.78, 0.54; GCA_900553175.1, s__Alistipes sp900553175, 95.0, 80.77, 0.633; GCA_000434235.1, s__Alistipes avistercoris, 95.0, 80.71, 0.52; GCA_019115605.1, s__Alistipes faecigallinarum, 95.0, 80.56, 0.511; GCA_910575495.1, s__Alistipes sp910575495, 95.0, 80.45, 0.508; GCF_002161445.1, s__Alistipes cottocaccae, 95.0, 80.4, 0.491; GCA_019118605.1, s__Alistipes faecavium, 95.0, 80.37, 0.518; GCF_900290115.1, s__Alistipes excrementigallinarum, 95.0, 80.34, 0.484; GCA_019119615.1, s__Alistipes stercoravium, 95.0, 80.33, 0.567; GCA_900542505.1, s__Alistipes stercorigallinarum, 95.0, 80.32, 0.568; GCA_944321185.1, s__Alistipes sp944321185, 95.0, 80.23, 0.512; GCF_900604385.1, s__Alistipes megaguti, 95.0, 80.21, 0.461; GCA_944321945.1, s__Alistipes sp944321945, 95.0, 80.2, 0.429; GCA_023664045.1, s__Alistipes senegalensis_B, 95.0, 80.2, 0.531; GCA_009774895.1, s__Alistipes sp009774895, 95.0, 80.18, 0.617; GCA_900760675.1, s__Alistipes sp900760675, 95.0, 80.1, 0.471; GCA_944321195.1, s__Alistipes sp944321195, 95.0, 80.06, 0.453; GCA_910580175.1, s__Alistipes sp910580175, 95.0, 80.02, 0.524; GCA_022782405.1, s__Alistipes sp022782405, 95.0, 80.01, 0.509; GCA_014796635.1, s__Alistipes sp014796635, 95.0, 79.99, 0.594; GCA_019115745.1, s__Alistipes intestinigallinarum, 95.0, 79.96, 0.442; GCF_943193205.1, s__Alistipes sp002428825, 95.0, 79.93, 0.527; GCA_944321765.1, s__Alistipes sp944321765, 95.0, 79.91, 0.46; GCA_019113885.1, s__Alistipes intestinipullorum, 95.0, 79.87, 0.487; GCA_944320625.1, s__Alistipes sp944320625, 95.0, 79.79, 0.475; GCF_900021155.1, s__Alistipes excrementavium, 95.0, 79.79, 0.418; GCA_944321965.1, s__Alistipes sp944321965, 95.0, 79.78, 0.426; GCA_910584485.1, s__Alistipes sp910584485, 95.0, 79.72, 0.45; GCA_944321755.1, s__Alistipes sp944321755, 95.0, 79.69, 0.39; GCA_900552955.1, s__Alistipes sp900552955, 95.0, 79.44, 0.478; GCA_910577475.1, s__Alistipes sp910577475, 95.0, 79.39, 0.412; GCA_944320985.1, s__Alistipes sp944320985, 95.0, 79.22, 0.374; GCA_902363575.1, s__Alistipes sp902363575, 95.0, 79.11, 0.369; GCF_006542665.1, s__Alistipes communis, 95.0, 79.08, 0.383; GCA_944321205.1, s__Alistipes sp944321205, 95.0, 79.02, 0.359; GCA_944320665.1, s__Alistipes sp944320665, 95.0, 78.9, 0.459; GCA_020026435.1, s__Alistipes sp020026435, 95.0, 78.71, 0.336; GCA_023665825.1, s__Alistipes senegalensis_A, 95.0, 78.66, 0.376; GCA_910586375.1, s__Alistipes sp910586375, 95.0, 78.56, 0.442; GCA_900550375.1, s__Alistipes sp900550375, 95.0, 78.52, 0.353; GCA_905214725.1, s__Alistipes sp905214725, 95.0, 78.46, 0.317; GCF_000154465.1, s__Alistipes putredinis, 95.0, 78.35, 0.301; GCA_020026375.1, s__Alistipes sp020026375, 95.0, 78.28, 0.398; GCA_022767745.1, s__Alistipes sp022767745, 95.0, 78.24, 0.284; GCA_017437045.1, s__Alistipes sp017437045, 95.0, 78.07, 0.252; GCA_022511345.1, s__Alistipes sp022511345, 95.0, 78.06, 0.344; GCA_910587675.1, s__Alistipes sp910587675, 95.0, 77.99, 0.275; GCA_015059965.1, s__Alistipes sp015059965, 95.0, 77.99, 0.291; GCA_015060045.1, s__Alistipes sp015060045, 95.0, 77.99, 0.297; GCA_017624955.1, s__Alistipes sp017624955, 95.0, 77.97, 0.301; GCA_003979135.1, s__Alistipes sp003979135, 95.0, 77.96, 0.34; GCA_020026395.1, s__Alistipes sp020026395, 95.0, 77.87, 0.333; GCA_944321175.1, s__Alistipes sp944321175, 95.0, 77.85, 0.243; GCA_017623115.1, s__Alistipes sp017623115, 95.0, 77.84, 0.266; GCA_017555105.1, s__Alistipes sp017555105, 95.0, 77.79, 0.302; GCA_017547175.1, s__Alistipes sp017547175, 95.0, 77.79, 0.22; GCA_020026415.1, s__Alistipes sp020026415, 95.0, 77.75, 0.295; GCA_017555975.1, s__Alistipes sp017555975, 95.0, 77.72, 0.255; GCA_019118565.1, s__Alistipes avicola, 95.0, 77.7, 0.289; GCA_900546065.1, s__Alistipes merdipullorum, 95.0, 77.66, 0.224; GCA_944320685.1, s__Alistipes sp944320685, 95.0, 77.66, 0.225; GCA_017936685.1, s__Alistipes sp017936685, 95.0, 77.66, 0.251; GCA_904502075.1, s__Alistipes sp904502075, 95.0, 77.65, 0.335; GCA_017398045.1, s__Alistipes sp017398045, 95.0, 77.62, 0.242; GCA_944321955.1, s__Alistipes sp944321955, 95.0, 77.48, 0.283; GCA_944322375.1, s__Alistipes sp944322375, 95.0, 77.45, 0.256; GCA_017436185.1, s__Alistipes sp017436185, 95.0, 77.45, 0.235; GCA_020026335.1, s__Alistipes sp020026335, 95.0, 77.44, 0.286; GCA_015059735.1, s__Alistipes sp015059735, 95.0, 77.42, 0.155; GCA_019113665.1, s__Alistipes excrementipullorum, 95.0, 77.38, 0.299; GCA_017937125.1, s__Alistipes sp017937125, 95.0, 77.24, 0.192; GCA_017630245.1, s__Alistipes sp017630245, 95.0, 76.61, 0.117; GCA_015059845.1, s__Alistipes sp015059845, 95.0, 76.6, 0.083; GCA_015060065.1, s__Alistipes sp015060065, 95.0, 76.52, 0.141; GCA_022511295.1, s__Alistipes sp022511295, 95.0, 76.51, 0.121; GCA_017398695.1, s__Alistipes sp017398695, 95.0, 76.42, 0.136; GCA_017631055.1, s__Alistipes sp017631055, 95.0, 76.35, 0.169; GCA_015060165.1, s__Alistipes sp015060165, 95.0, 76.35, 0.049; GCA_017623505.1, s__Alistipes sp017623505, 95.0, 76.3, 0.058; GCA_015060005.1, s__Alistipes sp015060005, 95.0, 76.27, 0.066; GCA_017399485.1, s__Alistipes sp017399485, 95.0, 76.17, 0.051; GCA_022511355.1, s__Alistipes sp022511355, 95.0, 76.02, 0.156; GCA_017384185.1, s__Alistipes sp017384185, 95.0, 75.82, 0.055	83.4	11	0.98283	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
AH1_2nd_10:bin_000042	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	N/A	N/A	N/A	N/A	N/A	GCF_900021155.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes excrementavium	82.29	0.722	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_009774895.1, s__Alistipes sp009774895, 95.0, 79.28, 0.496; GCA_944320665.1, s__Alistipes sp944320665, 95.0, 79.09, 0.443; GCF_000265365.1, s__Alistipes finegoldii, 95.0, 78.97, 0.425; GCF_900083545.1, s__Alistipes provencensis, 95.0, 78.97, 0.411; GCF_006542685.1, s__Alistipes dispar, 95.0, 78.95, 0.398; GCA_025145285.1, s__Alistipes onderdonkii, 95.0, 78.89, 0.406; GCA_025145645.1, s__Alistipes senegalensis, 95.0, 78.85, 0.421; GCA_910576555.1, s__Alistipes sp910576555, 95.0, 78.76, 0.37; GCA_025145845.1, s__Alistipes shahii, 95.0, 78.7, 0.453; GCA_001941065.1, s__Alistipes sp001941065, 95.0, 78.65, 0.39; GCF_900107675.1, s__Alistipes timonensis, 95.0, 78.63, 0.425; GCA_900541585.1, s__Alistipes sp900541585, 95.0, 78.63, 0.421; GCA_019115605.1, s__Alistipes faecigallinarum, 95.0, 78.62, 0.338; GCA_902362705.1, s__Alistipes sp002358415, 95.0, 78.56, 0.323; GCA_902388705.1, s__Alistipes sp902388705, 95.0, 78.56, 0.386; GCA_900544265.1, s__Alistipes merdavium, 95.0, 78.55, 0.375; GCF_018362775.1, s__Alistipes montrealensis, 95.0, 78.51, 0.411; GCA_021204515.1, s__Alistipes sp021204515, 95.0, 78.49, 0.385; GCA_020026455.1, s__Alistipes sp020026455, 95.0, 78.48, 0.401; GCA_000434235.1, s__Alistipes avistercoris, 95.0, 78.43, 0.348; GCA_900553175.1, s__Alistipes sp900553175, 95.0, 78.43, 0.365; GCA_910575495.1, s__Alistipes sp910575495, 95.0, 78.42, 0.333; GCA_023664045.1, s__Alistipes senegalensis_B, 95.0, 78.42, 0.331; GCA_900542505.1, s__Alistipes stercorigallinarum, 95.0, 78.39, 0.321; GCA_022782405.1, s__Alistipes sp022782405, 95.0, 78.38, 0.346; GCF_002161445.1, s__Alistipes cottocaccae, 95.0, 78.37, 0.36; GCF_006542665.1, s__Alistipes communis, 95.0, 78.3, 0.301; GCA_944321945.1, s__Alistipes sp944321945, 95.0, 78.29, 0.296; GCA_019119615.1, s__Alistipes stercoravium, 95.0, 78.28, 0.323; GCA_023443765.1, s__Alistipes sp023443765, 95.0, 78.25, 0.353; GCA_902363575.1, s__Alistipes sp902363575, 95.0, 78.25, 0.314; GCF_900290115.1, s__Alistipes excrementigallinarum, 95.0, 78.23, 0.349; GCA_944320625.1, s__Alistipes sp944320625, 95.0, 78.21, 0.271; GCA_910580175.1, s__Alistipes sp910580175, 95.0, 78.2, 0.309; GCA_900552955.1, s__Alistipes sp900552955, 95.0, 78.19, 0.27; GCA_019115745.1, s__Alistipes intestinigallinarum, 95.0, 78.15, 0.314; GCA_944321765.1, s__Alistipes sp944321765, 95.0, 78.14, 0.298; GCA_944321195.1, s__Alistipes sp944321195, 95.0, 78.14, 0.268; GCA_910584485.1, s__Alistipes sp910584485, 95.0, 78.09, 0.303; GCA_944321185.1, s__Alistipes sp944321185, 95.0, 78.08, 0.311; GCF_943193205.1, s__Alistipes sp002428825, 95.0, 78.06, 0.293; GCA_019118605.1, s__Alistipes faecavium, 95.0, 78.06, 0.298; GCA_014796635.1, s__Alistipes sp014796635, 95.0, 78.02, 0.365; GCF_900604385.1, s__Alistipes megaguti, 95.0, 78.0, 0.349; GCF_000154465.1, s__Alistipes putredinis, 95.0, 77.99, 0.284; GCA_905214725.1, s__Alistipes sp905214725, 95.0, 77.94, 0.251; GCA_944321755.1, s__Alistipes sp944321755, 95.0, 77.91, 0.294; GCA_910586375.1, s__Alistipes sp910586375, 95.0, 77.9, 0.228; GCA_944321965.1, s__Alistipes sp944321965, 95.0, 77.87, 0.294; GCA_900760675.1, s__Alistipes sp900760675, 95.0, 77.84, 0.313; GCA_934754975.1, s__Alistipes sp934754975, 95.0, 77.81, 0.261; GCA_910577475.1, s__Alistipes sp910577475, 95.0, 77.71, 0.321; GCA_900550375.1, s__Alistipes sp900550375, 95.0, 77.7, 0.239; GCA_944321205.1, s__Alistipes sp944321205, 95.0, 77.67, 0.259; GCA_944320985.1, s__Alistipes sp944320985, 95.0, 77.67, 0.291; GCA_019118565.1, s__Alistipes avicola, 95.0, 77.65, 0.191; GCA_015059965.1, s__Alistipes sp015059965, 95.0, 77.6, 0.207; GCA_017936685.1, s__Alistipes sp017936685, 95.0, 77.59, 0.145; GCA_023665825.1, s__Alistipes senegalensis_A, 95.0, 77.56, 0.251; GCA_019113885.1, s__Alistipes intestinipullorum, 95.0, 77.55, 0.271; GCA_015060045.1, s__Alistipes sp015060045, 95.0, 77.51, 0.176; GCA_022767745.1, s__Alistipes sp022767745, 95.0, 77.5, 0.202; GCA_910587675.1, s__Alistipes sp910587675, 95.0, 77.5, 0.189; GCA_017547175.1, s__Alistipes sp017547175, 95.0, 77.5, 0.143; GCA_015059735.1, s__Alistipes sp015059735, 95.0, 77.44, 0.109; GCA_022511345.1, s__Alistipes sp022511345, 95.0, 77.44, 0.177; GCA_003979135.1, s__Alistipes sp003979135, 95.0, 77.42, 0.227; GCA_017555975.1, s__Alistipes sp017555975, 95.0, 77.41, 0.146; GCA_900546065.1, s__Alistipes merdipullorum, 95.0, 77.4, 0.162; GCA_944320685.1, s__Alistipes sp944320685, 95.0, 77.4, 0.167; GCA_944321175.1, s__Alistipes sp944321175, 95.0, 77.39, 0.221; GCA_017555105.1, s__Alistipes sp017555105, 95.0, 77.37, 0.198; GCA_017624955.1, s__Alistipes sp017624955, 95.0, 77.34, 0.204; GCA_020026415.1, s__Alistipes sp020026415, 95.0, 77.33, 0.177; GCA_017437045.1, s__Alistipes sp017437045, 95.0, 77.29, 0.171; GCA_020026375.1, s__Alistipes sp020026375, 95.0, 77.29, 0.226; GCA_944321955.1, s__Alistipes sp944321955, 95.0, 77.27, 0.169; GCA_904502075.1, s__Alistipes sp904502075, 95.0, 77.27, 0.183; GCA_015060165.1, s__Alistipes sp015060165, 95.0, 77.23, 0.052; GCA_017623115.1, s__Alistipes sp017623115, 95.0, 77.21, 0.157; GCA_017399485.1, s__Alistipes sp017399485, 95.0, 77.19, 0.052; GCA_020026435.1, s__Alistipes sp020026435, 95.0, 77.17, 0.242; GCA_944322375.1, s__Alistipes sp944322375, 95.0, 77.17, 0.196; GCA_017937125.1, s__Alistipes sp017937125, 95.0, 77.12, 0.135; GCA_017436185.1, s__Alistipes sp017436185, 95.0, 77.12, 0.137; GCA_017398045.1, s__Alistipes sp017398045, 95.0, 77.1, 0.172; GCA_020026395.1, s__Alistipes sp020026395, 95.0, 77.06, 0.204; GCA_015060065.1, s__Alistipes sp015060065, 95.0, 76.95, 0.08; GCA_015060005.1, s__Alistipes sp015060005, 95.0, 76.94, 0.055; GCA_020026335.1, s__Alistipes sp020026335, 95.0, 76.91, 0.164; GCA_015059845.1, s__Alistipes sp015059845, 95.0, 76.87, 0.084; GCA_017398695.1, s__Alistipes sp017398695, 95.0, 76.78, 0.06; GCA_017623505.1, s__Alistipes sp017623505, 95.0, 76.74, 0.048; GCA_019113665.1, s__Alistipes excrementipullorum, 95.0, 76.68, 0.15; GCA_017631055.1, s__Alistipes sp017631055, 95.0, 76.29, 0.093; GCA_017630245.1, s__Alistipes sp017630245, 95.0, 76.28, 0.083; GCA_022511295.1, s__Alistipes sp022511295, 95.0, 76.08, 0.089; GCA_022511355.1, s__Alistipes sp022511355, 95.0, 75.97, 0.091; GCA_017384185.1, s__Alistipes sp017384185, 95.0, 75.77, 0.039	83.28	11	0.98241	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
AH1_2nd_10:bin_000044	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__	ANI	classification based on placement in class-level tree	GCF_002234575.2, s__Enterocloster bolteae, 95.0, 78.85, 0.356; GCF_000233455.1, s__Enterocloster citroniae, 95.0, 78.76, 0.374; GCF_003434055.1, s__Enterocloster aldenensis, 95.0, 78.76, 0.348; GCF_005845215.1, s__Enterocloster sp005845215, 95.0, 78.7, 0.361; GCA_021201905.1, s__Enterocloster sp021201905, 95.0, 78.67, 0.337; GCF_000424325.1, s__Enterocloster clostridioformis_A, 95.0, 78.62, 0.356; GCA_000155435.1, s__Enterocloster pacaense, 95.0, 78.58, 0.376; GCF_020297485.1, s__Enterocloster clostridioformis, 95.0, 78.56, 0.39; GCA_001304855.1, s__Enterocloster sp001304855, 95.0, 78.2, 0.314; GCA_900770345.1, s__Enterocloster sp900770345, 95.0, 78.04, 0.193; GCF_013282095.1, s__Enterocloster sp900538485, 95.0, 77.82, 0.142; GCF_009696375.1, s__Enterocloster porci, 95.0, 77.76, 0.199; GCF_020554865.1, s__Enterocloster sp900753815, 95.0, 77.74, 0.231; GCA_900543885.1, s__Enterocloster sp900543885, 95.0, 77.73, 0.121; GCF_003473545.1, s__Enterocloster sp000431375, 95.0, 77.72, 0.108; GCA_900549235.1, s__Enterocloster sp900549235, 95.0, 77.61, 0.217; GCA_019119575.1, s__Enterocloster excrementipullorum, 95.0, 77.59, 0.18; GCF_001517625.2, s__Enterocloster sp001517625, 95.0, 77.53, 0.165; GCA_900547035.1, s__Enterocloster excrementigallinarum, 95.0, 77.4, 0.12; GCA_900551225.1, s__Enterocloster sp900551225, 95.0, 77.33, 0.196; GCA_900759225.1, s__Enterocloster sp900759225, 95.0, 77.31, 0.235; GCF_902364025.1, s__Enterocloster lavalensis, 95.0, 77.3, 0.207; GCA_900555045.1, s__Enterocloster sp900555045, 95.0, 77.27, 0.162; GCA_025149125.1, s__Enterocloster asparagiformis, 95.0, 77.27, 0.206; GCA_944384065.1, s__Enterocloster sp944384065, 95.0, 77.25, 0.16; GCA_018380885.1, s__Enterocloster sp900555905, 95.0, 77.23, 0.206; GCA_944382045.1, s__Enterocloster sp944382045, 95.0, 77.2, 0.191; GCA_900541315.1, s__Enterocloster sp900541315, 95.0, 77.09, 0.111; GCA_019118585.1, s__Enterocloster faecavium, 95.0, 77.06, 0.131; GCA_944376135.1, s__Enterocloster sp944376135, 95.0, 76.79, 0.165; GCA_944383785.1, s__Enterocloster sp944383785, 95.0, 76.65, 0.118	81.29	11	0.95845	N/A
